Customer ID,Transaction ID,Domestic/International,Account Balance Before,Transaction Amount,Account Balance After,Credit/Debit,Type of Transfer,Status,Sender Name,Receiver Name,Sender Address,Receiver Address,Sender Nationality,Receiver Nationality,Receiver BIC Number,Transaction Date & Time,Currency,Transaction Category,Merchant Name,Sender Bank,Receiver Bank,Transaction Mode,Fraud Flag,Anomaly Reason,Transaction Description,Device Used,Location,Transaction Risk Score,Sender Account Type,Receiver Account Type,Transaction Reversal Flag,Loyalty Points Earned/Used,Payment Gateway Used,Hedged Transaction Type,Hedged Cash Flow,Hedging Instrument at Fair Value,Hedge Percentage,Hedged Quantity
94509,d4284c40,International,40979.88,8760.57,-41.0,Credit,WIRE TRANSFER,Success,Sender 32,Receiver 89,Address 4,Address 155,India,Canada,BIC3741,2023-10-18 00:00:00,INR,Shopping,Merchant 20,Bank 4,Bank 12,POS,Yes,Account balance after transaction cannot be negative.,Payment for Shopping,Desktop,Toronto,0.5,Savings,Savings,No,11,Stripe,One or more selected contractual cash flows,Both,198483.0,87.7,703
23843,ccac9380,Domestic,17562.31,6484.52,11077.79,Debit,ATM WITHDRAWAL,Success,Sender 22,Receiver 23,Address 17,Address 152,Canada,Germany,BIC1815,2023-09-02 00:00:00,CAD,Travel,Merchant 46,Bank 9,Bank 19,ATM Withdrawal,Yes,"Hedged Cash Flow must be Principal Only, Interest Only, Both, or Other.",Payment for Travel,Desktop,Tokyo,0.29,Corporate,Corporate,Yes,491,PayPal,Last-of-Layer,INVALID_TYPE,223867.0,55.39,225
97803,22e198e5,International,45975.71,8538.45,54514.16,Credit,CREDIT CARD,Success,Sender 98,Receiver 4,Address 60,Address 175,Canada,Canada,BIC8669,2024-10-31 00:00:00,INR,Travel,Merchant 42,Bank 2,Bank 11,POS,Yes,Hedged quantity must be a positive numeric value.,Payment for Travel,Desktop,Mumbai,0.06,Current,Corporate,Yes,112,PayPal,Last-of-Layer,Both,759890.0,64.47,-5
86218,da0ed45f,Domestic,48942.13,5710.02,43232.11,Debit,ATM WITHDRAWAL,Failed,Sender 84,Receiver 13,Address 24,Address 186,USA,India,BIC9552,2024-10-19 00:00:00,AUD,Travel,Merchant 34,Bank 7,Bank 17,Bank Transfer,No,,Payment for Travel,ATM,Tokyo,0.3,Corporate,Corporate,Yes,496,Stripe,One or more selected contractual cash flows,Other,413327.0,64.18,583
19193,42899d8e,Domestic,27630.85,4396.51,23234.339999999997,Debit,CREDIT CARD,Failed,Sender 96,Receiver 29,Address 23,Address 138,India,UK,BIC9613,2024-04-15 00:00:00,EUR,Shopping,Merchant 20,Bank 9,Bank 12,POS,No,,Payment for Shopping,Mobile,Toronto,0.51,Corporate,Savings,No,401,Stripe,Not applicable,Other,817177.0,63.61,966
50963,17f13203,International,48027.12,9087.08,38940.04,Debit,ATM WITHDRAWAL,Failed,Sender 39,Receiver 19,Address 69,Address 122,Japan,Germany,BIC9680,2023-01-06 00:00:00,AUD,Travel,Merchant 42,Bank 1,Bank 19,Bank Transfer,No,,Payment for Travel,ATM,New York,0.91,Savings,Savings,Yes,336,PayPal,Not applicable,Interest Only,849814.0,52.89,701
45802,19305b20,International,3999.15,4778.75,3999.15,Debit,DEBIT CARD,Success,Sender 87,Receiver 59,Address 29,Address 173,Japan,Japan,BIC4467,2024-08-21 00:00:00,AUD,Bills,Merchant 9,Bank 8,Bank 13,ATM Withdrawal,No,,Payment for Bills,Mobile,Berlin,0.14,Corporate,Current,No,415,PayPal,Not applicable,Both,742503.0,5.21,752
55848,77baf90b,International,29494.49,2982.71,26511.780000000002,Debit,DEBIT CARD,Failed,Sender 81,Receiver 13,Address 19,Address 113,Canada,UK,BIC5737,2024-10-16 00:00:00,GBP,Investment,Merchant 40,Bank 5,Bank 20,POS,No,,Payment for Investment,Desktop,Toronto,0.45,Corporate,Savings,No,2,Google Pay,Last-of-Layer,Other,989334.0,12.6,16
16737,9a596a40,Domestic,44376.32,1479.96,45856.28,Credit,DEBIT CARD,Success,Sender 76,Receiver 94,Address 32,Address 195,UK,UK,BIC8353,2023-03-08 00:00:00,USD,Bills,Merchant 26,Bank 2,Bank 19,ATM Withdrawal,No,,Payment for Bills,ATM,Mumbai,0.81,Savings,Corporate,Yes,417,Stripe,Last-of-Layer,Other,634912.0,94.58,95
55775,d8f78830,International,49793.23,5454.26,55247.490000000005,Credit,NET BANKING,Failed,Sender 41,Receiver 93,Address 22,Address 169,Japan,USA,BIC5709,2023-04-09 00:00:00,AUD,Shopping,Merchant 2,Bank 3,Bank 15,Bank Transfer,No,,Payment for Shopping,Mobile,Mumbai,0.62,Savings,Savings,No,415,PayPal,One or more selected contractual cash flows,Other,77756.0,18.1,280
70821,ff2fc2cf,Domestic,15800.38,5727.47,10072.91,Debit,UPI,Success,Sender 10,Receiver 53,Address 87,Address 105,Canada,India,BIC8526,2024-09-23 00:00:00,INR,Travel,Merchant 22,Bank 7,Bank 12,Online,No,,Payment for Travel,Mobile,London,0.97,Savings,Current,Yes,28,Razorpay,One or more selected contractual cash flows,Interest Only,963383.0,20.71,346
57377,c0173294,International,11274.51,3595.39,7679.120000000001,Debit,CASH,Success,Sender 47,Receiver 60,Address 15,Address 197,Canada,UK,BIC9504,2023-03-29 00:00:00,AUD,Food,Merchant 47,Bank 10,Bank 18,ATM Withdrawal,No,,Payment for Food,Mobile,Mumbai,0.42,Corporate,Savings,Yes,102,Razorpay,Last-of-Layer,Other,673378.0,78.22,212
12410,fc20aebb,Domestic,17970.62,1452.59,16518.03,Debit,ATM WITHDRAWAL,Failed,Sender 8,Receiver 3,Address 46,Address 153,Germany,Japan,BIC3167,2023-05-28 00:00:00,EUR,Shopping,Merchant 32,Bank 4,Bank 19,POS,No,,Payment for Shopping,ATM,London,0.36,Savings,Corporate,No,490,PayPal,Not applicable,Other,660956.0,78.02,487
25043,35332a24,International,18905.76,3113.2,15792.559999999998,Debit,NET BANKING,Failed,Sender 32,Receiver 10,Address 13,Address 165,USA,UK,BIC2365,2023-12-16 00:00:00,USD,Travel,Merchant 48,Bank 6,Bank 13,Bank Transfer,No,,Payment for Travel,ATM,Berlin,0.3,Corporate,Savings,No,371,Razorpay,One or more selected contractual cash flows,Other,829099.0,36.44,426
95470,f7915ac5,Domestic,27440.68,3388.13,30828.81,Credit,CHECK,Failed,Sender 57,Receiver 69,Address 45,Address 141,UK,Germany,BIC5007,2024-12-02 00:00:00,JPY,Food,Merchant 12,Bank 4,Bank 16,POS,No,,Payment for Food,Mobile,Berlin,0.37,Savings,Corporate,No,269,Razorpay,Not applicable,Other,993088.0,70.82,794
25154,1ecf351b,International,13834.02,9022.41,22856.43,Credit,CASH,Failed,Sender 38,Receiver 74,Address 5,Address 169,USA,Canada,BIC7618,2024-04-22 00:00:00,CAD,Investment,Merchant 49,Bank 2,Bank 13,Bank Transfer,No,,Payment for Investment,Desktop,Berlin,0.62,Corporate,Current,Yes,43,Stripe,Last-of-Layer,Interest Only,222208.0,3.06,451
65504,d092b2e2,Domestic,39177.37,1295.88,37881.490000000005,Debit,NET BANKING,Failed,Sender 19,Receiver 91,Address 67,Address 151,Japan,Japan,BIC1356,2024-08-06 00:00:00,USD,Shopping,Merchant 47,Bank 3,Bank 15,ATM Withdrawal,No,,Payment for Shopping,Desktop,London,0.9,Corporate,Savings,No,203,PayPal,One or more selected contractual cash flows,Interest Only,7165.0,78.66,553
39405,6a68d1d8,Domestic,37990.44,9739.0,28251.440000000002,Debit,WIRE TRANSFER,Failed,Sender 40,Receiver 34,Address 93,Address 176,India,Germany,BIC1595,2024-02-09 00:00:00,EUR,Shopping,Merchant 6,Bank 7,Bank 17,POS,No,,Payment for Shopping,Mobile,Mumbai,0.76,Current,Current,Yes,475,Stripe,Last-of-Layer,Principal Only,212809.0,52.24,40
11661,38afe3d5,Domestic,10538.22,3755.32,14293.539999999999,Credit,WIRE TRANSFER,Success,Sender 9,Receiver 30,Address 6,Address 189,UK,Canada,BIC9876,2024-03-07 00:00:00,EUR,Food,Merchant 28,Bank 7,Bank 12,Online,No,,Payment for Food,Mobile,Toronto,0.74,Savings,Current,No,309,Razorpay,Last-of-Layer,Interest Only,313627.0,44.52,524
90296,6da62b15,International,29970.11,7775.76,22194.35,Debit,UPI,Success,Sender 96,Receiver 34,Address 76,Address 130,UK,USA,BIC9696,2023-01-10 00:00:00,JPY,Food,Merchant 16,Bank 2,Bank 18,ATM Withdrawal,No,,Payment for Food,ATM,Mumbai,0.27,Corporate,Corporate,Yes,264,PayPal,One or more selected contractual cash flows,Interest Only,477757.0,34.47,562
53248,169b5885,International,36734.13,7045.17,43779.299999999996,Credit,CHECK,Failed,Sender 76,Receiver 4,Address 3,Address 128,Canada,Germany,BIC1817,2024-07-22 00:00:00,INR,Bills,Merchant 25,Bank 8,Bank 14,Bank Transfer,No,,Payment for Bills,Desktop,Mumbai,0.69,Corporate,Current,Yes,73,Stripe,Not applicable,Interest Only,282419.0,28.9,835
89404,57e886d1,International,41388.15,6221.15,35167.0,Debit,ATM WITHDRAWAL,Success,Sender 47,Receiver 100,Address 66,Address 137,Germany,Germany,BIC9791,2023-01-03 00:00:00,INR,Investment,Merchant 42,Bank 7,Bank 15,Online,No,,Payment for Investment,Mobile,Berlin,0.74,Current,Corporate,Yes,330,PayPal,Last-of-Layer,Other,433428.0,74.05,744
71412,e43bcdd7,Domestic,30108.79,812.35,29296.440000000002,Debit,WIRE TRANSFER,Failed,Sender 14,Receiver 47,Address 35,Address 148,Japan,Japan,BIC3146,2024-07-13 00:00:00,USD,Investment,Merchant 4,Bank 2,Bank 16,Online,No,,Payment for Investment,Desktop,Toronto,0.64,Current,Savings,Yes,353,Google Pay,Not applicable,Both,958756.0,96.64,768
50111,b25e80d5,Domestic,49904.25,5828.05,55732.3,Credit,UPI,Success,Sender 88,Receiver 33,Address 57,Address 136,Germany,Japan,BIC8962,2024-05-12 00:00:00,USD,Bills,Merchant 38,Bank 7,Bank 15,Bank Transfer,No,,Payment for Bills,Mobile,Berlin,0.46,Current,Current,No,441,PayPal,One or more selected contractual cash flows,Both,232583.0,16.28,205
66494,b8edeb01,International,39977.55,9084.98,30892.570000000003,Debit,DEBIT CARD,Success,Sender 94,Receiver 89,Address 81,Address 171,USA,USA,BIC7039,2023-12-01 00:00:00,USD,Shopping,Merchant 39,Bank 1,Bank 19,Bank Transfer,No,,Payment for Shopping,Desktop,Berlin,0.4,Savings,Savings,Yes,368,Google Pay,Last-of-Layer,Interest Only,892349.0,46.37,325
75906,768f2902,International,6340.97,6200.14,12541.11,Credit,UPI,Success,Sender 58,Receiver 9,Address 98,Address 177,Germany,UK,BIC8731,2023-08-08 00:00:00,USD,Shopping,Merchant 7,Bank 4,Bank 12,POS,No,,Payment for Shopping,Mobile,Toronto,0.93,Savings,Corporate,Yes,398,Razorpay,Not applicable,Both,257941.0,84.34,672
83073,9f616d14,International,27638.22,9752.96,17885.260000000002,Debit,CASH,Failed,Sender 80,Receiver 42,Address 55,Address 143,Japan,USA,BIC7160,2024-08-29 00:00:00,USD,Bills,Merchant 18,Bank 2,Bank 19,Online,No,,Payment for Bills,Mobile,Mumbai,0.85,Savings,Savings,No,137,PayPal,One or more selected contractual cash flows,Both,106145.0,34.07,356
49569,e7d81303,Domestic,20177.38,1952.01,22129.39,Credit,NET BANKING,Success,Sender 21,Receiver 77,Address 98,Address 189,Germany,UK,BIC4962,2023-01-01 00:00:00,AUD,Shopping,Merchant 12,Bank 6,Bank 19,ATM Withdrawal,No,,Payment for Shopping,Mobile,Berlin,0.77,Current,Current,Yes,122,Stripe,Last-of-Layer,Other,988099.0,21.31,808
54297,5f03853c,Domestic,42437.5,3609.33,38828.17,Debit,NET BANKING,Failed,Sender 79,Receiver 84,Address 32,Address 179,USA,Germany,BIC7239,2023-10-04 00:00:00,INR,Investment,Merchant 37,Bank 1,Bank 11,Online,No,,Payment for Investment,ATM,Berlin,0.49,Current,Current,Yes,114,Google Pay,Not applicable,Both,838984.0,68.39,168
54290,51f45b02,International,30049.0,5298.58,35347.58,Credit,CASH,Success,Sender 11,Receiver 14,Address 39,Address 125,Japan,Canada,BIC7227,2023-06-17 00:00:00,EUR,Investment,Merchant 8,Bank 9,Bank 16,ATM Withdrawal,No,,Payment for Investment,Mobile,New York,0.8,Current,Current,No,425,Stripe,Not applicable,Interest Only,863718.0,28.09,722
16515,bfe5c9a8,International,3024.01,2498.33,525.6800000000003,Debit,CHECK,Success,Sender 31,Receiver 30,Address 82,Address 159,Canada,USA,BIC3570,2024-07-08 00:00:00,USD,Travel,Merchant 47,Bank 4,Bank 11,Bank Transfer,No,,Payment for Travel,ATM,Tokyo,0.46,Savings,Savings,No,315,PayPal,Not applicable,Principal Only,530081.0,74.96,64
36991,51d80799,International,26446.07,9885.56,16560.510000000002,Debit,DEBIT CARD,Failed,Sender 36,Receiver 8,Address 1,Address 135,Japan,Canada,BIC2565,2024-10-28 00:00:00,EUR,Bills,Merchant 13,Bank 6,Bank 19,ATM Withdrawal,No,,Payment for Bills,ATM,Mumbai,0.52,Current,Current,No,427,Google Pay,One or more selected contractual cash flows,Principal Only,399135.0,75.27,431
28490,618ef49c,International,20280.03,3890.07,16389.96,Debit,CHECK,Failed,Sender 71,Receiver 48,Address 18,Address 184,UK,Canada,BIC1611,2024-01-20 00:00:00,USD,Food,Merchant 39,Bank 3,Bank 18,Bank Transfer,No,,Payment for Food,Desktop,New York,0.27,Savings,Savings,No,250,Stripe,One or more selected contractual cash flows,Other,113951.0,25.38,481
80274,8f0a511c,Domestic,49195.35,3625.19,52820.54,Credit,WIRE TRANSFER,Failed,Sender 16,Receiver 38,Address 67,Address 116,Germany,Japan,BIC9454,2024-10-29 00:00:00,JPY,Shopping,Merchant 17,Bank 3,Bank 12,POS,No,,Payment for Shopping,Desktop,Toronto,0.82,Corporate,Savings,No,246,Stripe,One or more selected contractual cash flows,Other,105628.0,25.5,12
32924,18807655,International,28668.05,4546.98,33215.03,Credit,WIRE TRANSFER,Success,Sender 23,Receiver 65,Address 51,Address 139,India,Germany,BIC9313,2024-11-28 00:00:00,USD,Food,Merchant 44,Bank 3,Bank 12,POS,No,,Payment for Food,Mobile,Toronto,0.91,Corporate,Savings,Yes,227,Google Pay,Last-of-Layer,Interest Only,687692.0,77.93,444
39143,b1f23325,International,44608.77,3318.44,41290.329999999994,Debit,WIRE TRANSFER,Success,Sender 47,Receiver 29,Address 8,Address 134,Germany,Japan,BIC1665,2024-02-02 00:00:00,JPY,Food,Merchant 11,Bank 6,Bank 16,Online,No,,Payment for Food,ATM,Berlin,0.77,Corporate,Corporate,No,147,Stripe,Not applicable,Both,85617.0,83.61,595
61002,73ba594f,International,33938.95,4751.28,29187.67,Debit,WIRE TRANSFER,Success,Sender 11,Receiver 43,Address 11,Address 115,Japan,USA,BIC6679,2023-07-01 00:00:00,GBP,Food,Merchant 27,Bank 5,Bank 14,Bank Transfer,No,,Payment for Food,ATM,Berlin,0.07,Corporate,Current,Yes,148,Stripe,Last-of-Layer,Both,30614.0,5.58,301
13006,b81647b5,International,35024.38,296.59,35320.969999999994,Credit,CASH,Success,Sender 66,Receiver 60,Address 7,Address 186,Japan,UK,BIC3818,2024-05-21 00:00:00,JPY,Bills,Merchant 3,Bank 7,Bank 20,ATM Withdrawal,No,,Payment for Bills,Mobile,Tokyo,0.32,Savings,Savings,Yes,165,Google Pay,One or more selected contractual cash flows,Both,33593.0,47.95,817
